CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,EOS_2020,MID_2020,R1_POINTS_2021,R2_POINTS_2021
DK846,Civil Engineering                                 ,,,,,391,361,361,392,371,371
DK850,International Tourism Management                  ,,,,,317,317,317,377,303,303
DK860,Music                                             ,#499,#499,#499,649.0,#532,#532,503,634,,
DK861,Arts                                              ,307,300,300,358.0,302,302,302,363,302,302
DK862,Social Care                                       ,300,,300,338.0,301,,301,347,322,319
DK863,Creative Media                                    ,300,,300,376.0,308,308,308,337,336,320
DK864,Film and Television Production                    ,300,300,300,332.0,300,300,300,402,308,
DK865,Audio and Music Production                        ,301,301,301,346.0,301,,301,367,352,
DK870,General Nursing                                   ,392,,392,401.0,403,401,397,419,440*,440*
DK872,Intellectual Disability Nursing                   ,300,,300,317.0,336,,336,358,367,366
DK874,Mental Health Nursing                             ,357,356,356,378.0,356,,356,379,398,
DK876,Early Childhood Studies                           ,305,,305,359.0,321,,321,388,300,
DK877,Midwifery                                         ,398*,,398*,441.0,440,,440,470,482,477
DK880,Health and Physical Activity                      ,300,,300,367.0,328,,328,389,301,
