CODE,TITLE,R1_POINTS_2019,R1_POINTS_2020,R1_POINTS_2021
CK702,Dentistry                                         ,590,613*,625*
CK703,Pharmacy                                          ,577,590,613*
CK704,Occupational Therapy                              ,533,566,601*
CK705,Speech and Language Therapy                       ,511,520,568
CK706,Public Health Sciences                            ,420,454,500
CK707,Medical and Health Sciences                       ,521,542,578*
CK710,General Nursing                                   ,444*,454*,498*
CK712,Children`s and General Nursing (Integrated)       ,509*,533,565
CK720,Mental Health Nursing                             ,413,423,455
CK730,Intellectual Disability Nursing                   ,388,419,431
CK740,Midwifery                                         ,454,484,509*
CK791,Medicine - Graduate Entry (GAMSAT required)       ,,#57*,#60*
CM001,Education - Primary Teaching                      ,453,484*,508
CM002,Education - Primary Teaching - Gaeltacht Applicant,#421,,#462
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#491,#528,#513
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#492,#494,#480
CM010,Education Studies                                 ,317,319,382
CM020,Early Childhood Education                         ,336,327,317
CR105,Chemical and Biopharmaceutical Engineering        ,432,443,443
CR106,Software Development                              ,351,411,431
CR108,Mechanical Engineering                            ,425,434,434
CR109,Structural Engineering                            ,341,394,396
CR110,Automotive Business Management and Technology     ,318,311,336
CR112,Creative Digital Media                            ,335,361,390
CR116,Computer Systems                                  ,318,332,365
CR121,Music at CIT Cork School of Music                 ,#633,#868,#904
CR125,Popular Music: Electric Bass Guitar at CIT Cork Sc,#972,#1088,#1028
CR126,Popular Music: Drums at CIT Cork School of Music  ,#806,#801,
CR127,Popular Music: Electric Guitar at CIT Cork School ,#647,#838,
CR128,Popular Music: Keyboards at CIT Cork School of Mus,#839,#840,
CR129,Popular Music: Voice at CIT Cork School of Music  ,#899,#841,
CR130,Musical Theatre                                   ,#545,#548,#525
CR150,Business Information Systems                      ,326,335,350
CR210,Contemporary Applied Art (Ceramics Glass Textiles),#708,#790,#450
CR220,Fine Art at CIT Crawford College of Art and Design,#620,#671,#400
CR225,Photography with New Media                        ,#920,#250,#435
CR305,Physical Sciences (Common Entry)                  ,279,282,260
CR310,IT Management                                     ,282,297,347
CR320,Biomedical Science (Offered jointly by CIT and UCC,546,565,590*
CR325,Pharmaceutical Biotechnology                      ,388,398,466
CR333,Nutrition and Health Science                      ,360,402,425
CR335,Biological Sciences (Common Entry)                ,381,420,473
CR340,Analytical Chemistry with Quality Assurance       ,288,251,327
CR360,Instrument Engineering                            ,291,261,301
CR365,Environmental Science and Sustainable Technology  ,334,253,262
CR370,Agri-Biosciences                                  ,399,397,368
CR400,Accounting                                        ,316,316,315
CR420,Marketing                                         ,288,285,290
CR425,International Business with Language              ,300,298,279
CR430,Sport and Exercise Management                     ,,322,402
CR435,Coaching Science and Sports Pedagogy              ,,,410
CR440,Montessori Education                              ,,288,409
CR500,Engineering (Common Entry)                        ,381,411,475
CR510,Sustainable Energy Engineering                    ,319,320,320
CR520,Biomedical Engineering                            ,434,444,444
CR560,Architectural Technology                          ,288,308,375
CR565,Interior Architecture                             ,336,359,431
CR570,Quantity Surveying                                ,279,336,375
CR572,Construction Management                           ,253,269,300
CR580,Electrical Engineering                            ,344,318,342
CR590,Electronic Engineering                            ,342,303,329
CR600,Visual Communications                             ,#587,#562,#280
CR660,Tourism Management                                ,249,252,246
CR700,Theatre and Drama Studies at CIT Cork School of Mu,#768,#740,#609
CR930,Home Economics and Business                       ,,,518*
CT125,Information Technology                            ,235,220,242
CT325,Business                                          ,,338,253
CW018,Business (options Wexford)                        ,327,298,307
CW028,Early Childhood Education and Care (Wexford)      ,252,252,260
CW038,Art (portfolio Wexford)                           ,#700,#700,#700
CW058,Tourism and Event Management (Wexford)            ,252,298,292
CW068,Applied Social Studies - Professional Social Care ,251,245,250
CW078,Sustainable Farm Management and Agribusiness (Wexf,266,269,270
CW088,Visual Communications and Design (Wexford)        ,309,274,270
CW108,Science (options)                                 ,261,261,266
CW128,Brewing and Distilling                            ,271,263,307
CW138,Sport and Exercise Science                        ,,423,430
CW148,Strength and Conditioning                         ,,379,388
CW178,Sport Science (options)                           ,399,,
CW188,Sport Rehabilitation and Athletic Therapy         ,454,451,451
CW208,Computer Games Development                        ,281,279,272
CW238,Software Development                              ,300,297,295
CW248,Information Technology Management                 ,307,285,293
CW258,Cybercrime and IT Security                        ,300,293,292
CW268,Computing in Interactive Digital Art and Design   ,274,287,291
CW438,Construction (options)                            ,271,272,260
CW468,Architectural Technology                          ,252,262,291
CW478,Civil Engineering                                 ,383,433,465
CW548,Mechanical Engineering                            ,310,321,330
CW558,Electronic Systems                                ,279,280,280
CW568,Aerospace Engineering                             ,366,380,371
CW578,TV and Media Production                           ,327,325,318
CW708,Law - LLB                                         ,298,302,292
CW728,Product Design Innovation                         ,276,252,246
CW748,Early Childhood Education and Care                ,265,270,290
CW758,Applied Social Studies - Professional Social Care ,290,336,360
CW808,Media and Public Relations                        ,262,251,247
CW848,Digital Marketing with Analytics                  ,279,254,269
CW858,Sports Management and Coaching (options portfolio),#700,#700,#700
CW908,Business (options)                                ,260,280,272
CW938,Business with Law                                 ,270,283,270
CW948,Accounting                                        ,301,300,319
DB500,Computing                                         ,242,218,234
DB501,Computing (Cloud Computing)                       ,326,227,
DB502,Computing (Data Analytics and Big Data)           ,,341,267
DB503,Computing (Software Development)                  ,242,225,
DB504,Computing (Web and Mobile Technology)             ,265,,
DB510,Audio Production and Music Project Management     ,242,234,217
DB512,Business Studies                                  ,248,218,243
DB514,Business Studies (Law)                            ,269,252,239
DB515,Business Studies (Human Resource Management)      ,225,244,242
DB516,Financial Services                                ,336,,
DB517,Event Management                                  ,226,238,233
DB518,Marketing (Digital Media)                         ,270,,307
DB521,Accounting and Finance                            ,238,225,243
DB524,Business Information Systems                      ,,342,247
DB525,Marketing (Digital Media and Cloud Computing)     ,284,,288
DB526,Business Information Systems (Cloud Computing)    ,253,347,244
DB527,Applied Social Care                               ,235,234,254
DB531,Marketing                                         ,234,293,288
DB562,Psychology                                        ,244,243,244
DB566,Social Science                                    ,216,220,262
DB567,Film                                              ,228,218,245
DB568,Law                                               ,245,219,254
DB569,Business (Psychology)                             ,279,252,240
DC001,Education - Early Childhood Education             ,398,440,445
DC002,Education - Primary Teaching                      ,462*,488,518*
DC003,Education - Primary Teaching - Gaeltacht Applicant,#429,#445,#489
DC004,Education - Primary Teaching (Church of Ireland Ce,#357,#411,#451
DC005,Education - Primary Teaching - Irish Sign Language,#,,
DC009,Arts (Joint Honours) - Humanities                 ,347,376,356
DC010,Post Primary Teacher Education - Religious Educati,386,441,384
DC011,Post Primary Teacher Education - Religious Educati,352,412,409
DC012,Post Primary Teacher Education - Religious Educati,#367,#378,409
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,410,419,413
DC014,BA in Jazz and Contemporary Music Performance     ,#435,#419,#311
DC110,Business Studies International                    ,440,465,498
DC111,Business Studies                                  ,463,488,511
DC112,Global Business (France)                          ,495,517,542*
DC113,Global Business (Germany)                         ,440,462,484
DC114,Global Business (Spain)                           ,501,522,544
DC115,Accounting and Finance                            ,487,510,544
DC116,Global Business (USA)                             ,578,579,613*
DC117,Aviation Management / Aviation Management with Pil,463,476,484
DC118,Gnó agus Gaeilge / Business and Irish             ,357,359,368
DC119,Global Business (Canada)                          ,566,564,601
DC120,Enterprise Computing                              ,350,357,403
DC121,Computer Applications                             ,370,400,475
DC123,Data Science                                      ,467,465,501
DC126,Actuarial Mathematics                             ,520,560,577*
DC127,Common Entry into Actuarial and Financial Mathemat,509,532,541
DC131,Communication Studies                             ,400,407,421
DC132,Journalism                                        ,401,429,452
DC133,Multimedia                                        ,403,411,435
DC155,Applied Language and Translation Studies          ,371,387,427
DC161,Analytical Science                                ,446,498*,498
DC162,Chemical and Pharmaceutical Sciences              ,488,521,531*
DC163,Chemical Sciences General Entry (Undenominated Ent,,,466*
DC166,Environmental Science and Technology              ,412,433,423*
DC167,Physics with Astronomy                            ,434,,
DC168,Genetics and Cell Biology                         ,489,512*,543*
DC171,Applied Physics                                   ,402*,,
DC173,Physics with Biomedical Sciences                  ,402*,,
DC175,Physics General Entry (options)                   ,,419,400
DC180,Biological Sciences General Entry (Undenominated E,,,530
DC181,Biotechnology                                     ,476,499,530
DC190,Electronic and Computer Engineering (with choice o,391,413,488
DC193,Mechatronic Engineering                           ,403,411,490
DC194,Sustainable Systems and Energy                    ,,,476
DC195,Mechanical and Manufacturing Engineering          ,401,425,500
DC197,Biomedical Engineering                            ,402,423,510
DC200,Common Entry into Engineering (Undenominated Entry,381,422,511
DC201,Common Entry into Science (Undenominated Entry)   ,454,498*,
DC202,Sport Science and Health                          ,467,500,511
DC203,Science Education                                 ,424,435,462
DC204,Athletic Therapy and Training                     ,484,522,558
DC205,Physical Education with Biology                   ,490,531,565
DC206,Physical Education with Mathematics               ,443,499,521
DC207,Psychology and Mathematics                        ,,,521
DC208,Psychology                                        ,509,532,565
DC209,Health and Society                                ,419,465,477
DC210,Psychology and Disruptive Technologies            ,,,506
DC215,General Nursing                                   ,414,454,456*
DC216,Mental Health Nursing                             ,368,418,420
DC217,Intellectual Disability Nursing                   ,347,370,382
DC218,Children`s and General Nursing (Integrated)       ,473*,500,521*
DC230,Economics Politics and Law                        ,400,435,431
DC231,International Relations                           ,387,397,398
DC232,Law and Society (BCL)                             ,453,466,469
DC235,Education and Training - Daytime Delivery Mode (fu,307,309,302
DC238,Social Sciences and Cultural Innovation           ,358,377,387
DC239,Gaeilge  Iriseoireacht agus na Meáin Dhigiteacha  ,,430,
DC240,Marketing Innovation and Technology               ,451,476,499
DC241,Digital Business and Innovation                   ,,,509
DC291,Arts (Joint Honours) - Media Studies              ,349,376,350
DC292,Arts (Joint Honours) - Law                        ,356,403,400
DC293,Arts (Joint Honours) - International Languages    ,369,377,379
DC294,Climate and Environmental Sustainability          ,,,475
DC295,Arts (Joint Honours) - Politics                   ,348,376,349
DK810,Accounting and Finance                            ,306,305,307
DK816,Business Studies                                  ,300,300,301
DK820,Computing in Games Development                    ,325,311,309
DK821,Computing in Software Development                 ,305,302,320
DK822,Augmented and Virtual Reality                     ,,307,320
DK830,Building Surveying                                ,302,336,305
DK831,Architectural Technology                          ,301,389,368
DK832,Construction Management                           ,300,387,358
DK843,Engineering (Common Entry)                        ,345,340,404
DK844,Mechanical Engineering                            ,,305,336
DK845,Electrical &amp; Electronic Engineering           ,,,331
DK846,Civil Engineering                                 ,,391,371
DK850,International Tourism Management                  ,,317,303
DK860,Music                                             ,#499,#532,
DK861,Arts                                              ,307,302,302
DK862,Social Care                                       ,300,301,322
DK863,Creative Media                                    ,300,308,336
DK864,Film and Television Production                    ,300,300,308
DK865,Audio and Music Production                        ,301,301,352
DK870,General Nursing                                   ,392,403,440*
DK872,Intellectual Disability Nursing                   ,300,336,367
DK874,Mental Health Nursing                             ,357,356,398
DK876,Early Childhood Studies                           ,305,321,300
DK877,Midwifery                                         ,398*,440,482
DK880,Health and Physical Activity                      ,300,328,301
DK882,Agriculture (Award options)                       ,303,310,342
DK883,Science (Award options)                           ,300,358,373
DK884,Sustainable Agriculture                           ,,,348
DK885,Agri-Food Production                              ,,,
DK886,Biopharmaceutical Science                         ,,301,379
DK887,Environmental Science                             ,,330,377
DL821,English Media and Cultural Studies                ,211,212,
DL822,Arts Management                                   ,209,229,254
DL823,Business Studies - Entrepreneurship and Management,261,235,220
DL825,Applied Psychology                                ,370,379,418
DL826,Visual Communication Design                       ,#736,#855,#591
DL827,Art                                               ,#583,#572,#574
DL828,3D Design Modelmaking and Digital Art             ,#691,#506,
DL829,Design for Stage and Screen (Costume Design)      ,#847,#593,
DL830,Design for Stage and Screen (Makeup Design)       ,#879,#939,
DL831,Design for Stage and Screen (Production Design)   ,#880,#781,
DL832,Animation                                         ,#855,#920,#989
DL833,Photography                                       ,#636,#650,#671
DL834,Film and Television Production                    ,#941,#990,
DL835,Creative Media Technologies                       ,220,,
DL836,Creative Computing                                ,217,219,235
DL837,New Media Studies                                 ,298,201,298
DL838,Creative Music Production                         ,#746,#754,#713
DL839,Interaction and User Experience Design            ,,#683,#757
DL840,Digital Marketing                                 ,,228,210
DL841,English and Equality Studies                      ,,276,277
DL843,Film                                              ,,,#987
DL844,Television                                        ,,,#566
DL845,Design for Film (degree options)                  ,,,#628
DN100,Architecture                                      ,486,510,555
DN120,Landscape Architecture                            ,370,407,463
DN130,City Planning and Environmental Policy            ,388,407,445
DN150,Engineering (Common Entry)                        ,511,531,565*
DN200,Science (options)                                 ,521,533,577
DN201,Computer Science (Common Entry)                   ,488,510,554
DN230,Actuarial and Financial Studies                   ,577*,601,613*
DN240,Sustainability                                    ,,440,510
DN250,Agricultural Science (options)                    ,425,456,454
DN252,Dairy Business                                    ,398,410,
DN253,Agri - Environmental Sciences                     ,403,418,
DN261,Food Science                                      ,451,477,531
DN262,Human Nutrition                                   ,495,531,566
DN271,Forestry                                          ,303,311,
DN272,Horticulture Landscape and Sportsturf Management  ,252,297,
DN300,Veterinary Medicine - Undergraduate Entry         ,#567,#589,#601*
DN301,Veterinary Medicine - Graduate Entry              ,#,,
DN310,Veterinary Nursing                                ,441,478,521
DN400,Medicine - Undergraduate Entry (HPAT required)    ,#736,#737,#743*
DN401,Medicine - Graduate Entry (GAMSAT required)       ,#59*,,#61*
DN410,Radiography                                       ,509,534,566*
DN411,Radiography - Graduate Entry                      ,#,#,#
DN420,Physiotherapy                                     ,548,578,601*
DN425,Health and Performance Science                    ,488,510,544
DN430,Sport and Exercise Management                     ,436,455,484
DN440,Biomedical Health and Life Sciences               ,566,590,613*
DN450,General Nursing                                   ,398,429*,462*
DN451,Children`s and General Nursing (Integrated)       ,488,509,533
DN452,Midwifery                                         ,445,489,510
DN453,Mental Health Nursing                             ,392,397,442
DN520,Arts (Two Subjects)                               ,336,310,381
DN530,Humanities (options)                              ,348,340,397
DN541,Modern Languages (options)                        ,368,303,320
DN600,Law (options)                                     ,522,546,576
DN610,Business and Law                                  ,521,545,573
DN650,Commerce                                          ,498*,521*,555
DN660,Commerce International (options)                  ,509,517,555
DN670,Economics and Finance                             ,601,613,625*
DN700,Social Sciences (options)                         ,390,421,475
DN710,Economics                                         ,476,498*,534
DN720,Psychology                                        ,517,530,566
DN750,Social Policy and Sociology                       ,330,378,421
DT001,Product Design                                    ,433,,
DT028,Transport Operations and Technology               ,279,,
DT035,Electrical Services and Energy Management         ,293,,
DT066,Engineering (General Entry)                       ,401,,
DT101,Architecture (test and interview)                 ,#618,,
DT106,Planning and Environmental Management             ,312,,
DT110,Property Economics (Valuation Surveying)          ,367,,
DT111,Quantity Surveying and Construction Economics     ,390,,
DT112,Geographic Science                                ,287,,
DT117,Construction Management                           ,356,,
DT175,Architectural Technology                          ,388,,
DT201,Science (General Entry)                           ,464,,
DT203,Analytical Chemistry (Environmental Forensic and P,341,,
DT204,Biomedical Science                                ,501,,
DT205,Mathematical Sciences                             ,315,,
DT206,Biomedical and Molecular Diagnostics              ,476,,
DT211,Computer Science (Infrastructure)                 ,381,,
DT220,Industrial Mathematics                            ,300,,
DT221,Physics with Energy and Environment               ,348,,
DT222,Physics Technology                                ,321,,
DT223,Human Nutrition and Dietetics                     ,553,,
DT224,Optometry                                         ,498,,
DT225,Public Health Nutrition                           ,440,,
DT227,Science with Nanotechnology                       ,312,,
DT228,Computer Science                                  ,451,,
DT229,Clinical Measurement Science                      ,491,,
DT235,Physics with Medical Physics and Bioengineering   ,357,,
DT282,Computer Science (International)                  ,377,,
DT299,Chemical Sciences with Medicinal Chemistry        ,420,,
DT302,Business Analytics                                ,325,,
DT304,E-Commerce in Retailing                           ,341,,
DT321,Business and Law                                  ,462,,
DT341,Marketing                                         ,400,,
DT343,Retail and Services Management                    ,301,,
DT354,Business Computing                                ,322,,
DT358,Logistics and Supply Chain Management             ,300,,
DT365,Business and Management                           ,440,,
DT366,Accounting and Finance                            ,432,,
DT398,Human Resource Management                         ,375,,
DT399,Economics and Finance                             ,437,,
DT401,International Hospitality Management              ,300,,
DT405,Culinary Science                                  ,308,,
DT407,Culinary Arts                                     ,271,,
DT412,Tourism Marketing                                 ,284,,
DT413,Event Management                                  ,356,,
DT416,Culinary Entrepreneurship                         ,275,,
DT420,Nutraceuticals in Health and Nutrition            ,392,,
DT421,Food Innovation                                   ,321,,
DT422,Pharmaceutical Healthcare                         ,397,,
DT491,Environmental Health                              ,343,,
DT501,Music                                             ,#383,,
DT504,Film and Broadcasting                             ,443,,
DT506,Commercial Modern Music                           ,#583,,
DT508,Game Design                                       ,403,,
DT517,Languages and English Studies                     ,419,,
DT518,Languages and International Tourism               ,307,,
DT529,Drama (Performance)                               ,#371,,
DT532,Law (LL.B.)                                       ,429,,
DT533,Contemporary Visual Culture                       ,261,,
DT544,Interior Design                                   ,#552,,
DT545,Design - Visual Communication                     ,#667,,
DT546,Fine Art                                          ,#668,,
DT555,International Business and Languages              ,353,,
DT559,Photography                                       ,#700,,
DT571,Social Care                                       ,394,,
DT572,Early Childhood Education                         ,385,,
DT582,Journalism                                        ,346,,
DT596,Print Media Technology and Management             ,252,,
DT597,Creative and Cultural Industries                  ,280,,
GA181,Accounting                                        ,303,309,303
GA182,Business                                          ,290,287,285
GA183,Business Information Systems                      ,309,296,298
GA184,Marketing and Sales                               ,307,307,300
GA185,Finance and Economics                             ,307,293,318
GA186,Business with Entrepreneurship                    ,293,280,287
GA187,Rural Enterprise and Agri-Business (Mountbellew Ca,280,281,291
GA281,Film and Documentary                              ,287,304,310
GA282,Heritage Studies                                  ,238,220,252
GA283,Contemporary Art                                  ,260,#679,#790
GA284,Design                                            ,309,303,331
GA285,Education (Art  Design and Graphics)              ,,,406
GA380,International Hotel Management                    ,225,242,218
GA381,International Tourism Management                  ,261,278,252
GA382,Culinary and Gastronomic Science                  ,225,206,235
GA384,Event Management with Public Relations            ,209,212,230
GA385,Retail Management                                 ,219,,
GA480,Construction Management                           ,260,260,302
GA482,Quantity Surveying and Construction Economics     ,280,288,304
GA483,Architectural Technology                          ,251,265,281
GA484,Civil Engineering                                 ,270,290,377
GA580,Software and Electronic Engineering               ,301,300,300
GA680,Mechanical Engineering                            ,336,330,400
GA681,Energy Engineering                                ,281,293,312
GA682,Biomedical Engineering                            ,331,313,331
GA683,Agricultural Engineering                          ,301,309,304
GA684,Engineering (Common entry to Agri/Biomed/Energy/Me,346,340,413
GA685,Manufacturing Engineering Design                  ,,309,336
GA780,Applied Freshwater and Marine Biology             ,300,327,366
GA781,Applied Biology and Biopharmaceutical Science     ,317,337,381
GA782,Chemical and Pharmaceutical Science               ,307,336,356
GA783,Physics and Instrumentation                       ,373,363,301
GA784,Science (Undenominated)                           ,325,372,445
GA785,Medical Science                                   ,451,473,517
GA786,Forensic Science and Analysis                     ,300,317,408
GA787,Computing in Software Development                 ,275,270,310
GA788,Computing and Digital Media                       ,270,274,270
GA789,Agriculture and Environmental Management (Mountbel,297,287,340
GA790,Sport and Exercise Science                        ,350,356,376
GA791,Public Health Nutrition                           ,364,368,368
GA880,General Nursing - Mayo Campus                     ,391,429*,440*
GA882,Psychiatric Nursing - Mayo Campus                 ,346,367,369
GA885,Outdoor Education - Mayo Campus                   ,210,252,269
GA887,History and Geography - Mayo Campus               ,228,244,201
GA889,Applied Social Care - Mayo Campus                 ,260,266,265
GA890,Early Childhood Care and Education - Mayo Campus  ,276,270,281
GA891,Geography and Outdoor Education                   ,,244,261
GA892,Community Development and Youth Work (Level 8)    ,,,
GA980,Education (Design Graphics and Construction) - Let,376,377,410
GA981,Furniture Design and Manufacture - Letterfrack Cam,271,,346
GA982,Furniture and Wood Technology - Letterfrack Campus,270,,360
GA983,Furniture and Digital Manufacturing               ,,,
GA984,Furniture Design  Making and Technology - Common E,,284,486
GC200,Business Studies (Cork)                           ,310,252,269
GC201,Accounting and Finance (Cork)                     ,251,303,260
GC230,Computing Science (Cork)                          ,327,335,300
GC250,Communications and Media Production               ,,,
GC300,Business Studies (Limerick)                       ,251,429,264
GC301,Accounting and Finance                            ,307,,
GC302,Business Studies - (HRM Limerick)                 ,,,377
GC305,International Hospitality Management (Limerick)   ,,253,
GC307,Business (Marketing)                              ,,,289
GC400,Business Studies (Dublin)                         ,271,248,250
GC401,Accounting and Finance (Dublin)                   ,246,240,242
GC402,Business Studies (HRM Dublin)                     ,282,264,
GC403,Law (Dublin)                                      ,251,244,245
GC405,International Hospitality Management (Dublin)     ,254,,
GC407,Business Studies (Marketing Dublin)               ,263,280,264
GC430,Computing Science (Dublin)                        ,254,252,251
GC450,Journalism and Visual Media (Dublin)              ,227,254,225
GC462,Design Communication (Dublin)                     ,,,#300
GC489,Interior Architecture (Dublin)                    ,#441,#254,#288
GC494,Fashion Design (Dublin)                           ,#AQA,#337,#351
GY101,Arts (Joint-Honours)                              ,300,300,327
GY104,Arts (Psychology)                                 ,509,523,564
GY105,Arts (History)                                    ,318,301,357
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin)      ,330,409,
GY109,Arts (Mathematics and Education)                  ,411,403,413
GY110,Arts with Children s Studies                      ,382,357,387
GY111,Arts with Creative Writing                        ,402,330,421
GY112,Arts with Film Studies                            ,338,321,
GY113,Arts with Human Rights                            ,338,368,413
GY115,Arts with Performing Arts Studies                 ,328,387,300
GY118,Arts (Drama Theatre and Performance Studies)      ,410,451,453
GY119,Journalism                                        ,410,400,484
GY120,Arts (Child Youth and Family: Policy and Practice),309,350,
